Quadras;longitude;latitude
1687;;
1688;-45,08679362;-22,92446776
1;-45,24925904;-22,7756552
2;-45,25067472;-22,77523031
3;-45,24878319;-22,77490583
4;-45,24818643;-22,77729701
5;-45,25067472;-22,77523031
6;-45,24818643;-22,77729701
7;-45,24807433;-22,78036956
8;-45,24870603;-22,77920963
9;-45,24870603;-22,77920963
10;-45,24770862;-22,77857999
1006;-45,19213604;-22,8094913
1018;-45,19540078;-22,80906247
102;-45,24427768;-22,80749269
103;-45,24102924;-22,81028368
1031;-45,18550392;-22,81165448
1039;-45,18436396;-22,80887831
1045;-45,1968094;-22,80644348
1044;-45,19787503;-22,80644762
1046;-45,19685308;-22,80701802
1047;-45,19685308;-22,80701802
106;-45,23038737;-22,79563106
1064;-45,14807718;-22,77546494
107;-45,22785847;-22,79430598
843;-45,19073965;-22,79906534
108;-45,23017701;-22,79432813
109;-45,2278462;-22,79534077
1098;-45,15299523;-22,78538549
11;-45,25154116;-22,78043637
11;-45,25410833;-22,78382736
11;-45,25154116;-22,78043637
1105;-45,15353052;-22,78664601
111;-45,22286508;-22,79358094
111;-45,22141542;-22,79524796
1112;-45,15587441;-22,78755315
1113;-45,15397571;-22,7888945
1119;-45,15463257;-22,78852903
112;-45,22003483;-22,79557381
1120;-45,15517783;-22,78850782
113;-45,22573017;-22,79752184
1131;-45,155382;-22,7887269
1132;-45,15557918;-22,78857123
1133;-45,15489625;-22,78968496
1134;-45,15416456;-22,79079639
1135;-45,15385336;-22,79155702
1137;-45,15385336;-22,79155702
1138;-45,15179921;-22,79409131
114;-45,22885417;-22,79814056
1141;-45,15416456;-22,79079639
1142;-45,15399886;-22,79212194
1143;-45,15548738;-22,79230993
1144;-45,15416456;-22,79079639
1145;-45,15548738;-22,79230993
1146;-45,15548738;-22,79230993
1147;-45,15548738;-22,79230993
1148;-45,15686491;-22,79105475
1149;-45,15548738;-22,79230993
115;-45,22783464;-22,79545226
1150;-45,15686491;-22,79105475
1151;-45,15548738;-22,79230993
1152;-45,15548738;-22,79230993
1153;-45,15651769;-22,79180234
1154;-45,15651769;-22,79180234
1155;-45,15792268;-22,79360907
1156;-45,15763637;-22,79462864
1157;-45,15763637;-22,79462864
1159;-45,15763637;-22,79462864
116;-45,22806591;-22,79554392
1160;-45,16105453;-22,77024393
1160;-45,16105453;-22,77024393
1161;-45,1590482;-22,77115276
1162;-45,16135785;-22,77149638
1163;-45,1590482;-22,77115276
1164;-45,16258468;-22,77155285
1165;-45,16135785;-22,77149638
117;-45,22429615;-22,7936405
1170;-45,16182854;-22,7733943
1171;-45,16182854;-22,7733943
1172;-45,16182854;-22,7733943
1173;-45,16182854;-22,7733943
1175;-45,16583834;-22,77563135
1176;-45,16583834;-22,77563135
1177;-45,16295649;-22,7755539
1178;-45,16295649;-22,7755539
1179;-45,16656917;-22,7781923
118;-45,22429615;-22,7936405
1180;-45,16333849;-22,77622883
1181;-45,16524009;-22,77833801
1182;-45,16524009;-22,77833801
1182;-45,16317178;-22,78229654
1183;-45,15510558;-22,77821169
1174;-45,15510558;-22,77821169
1184;-45,15316556;-22,78213681
1185;-45,16524009;-22,77833801
1186;-45,16256698;-22,77973941
1187;-45,16289159;-22,78081391
1188;-45,16289159;-22,78081391
1189;-45,15435412;-22,77845734
119;-45,22320433;-22,79325359
1190;-45,15664157;-22,78377036
1191;-45,16656917;-22,7781923
1192;-45,16590115;-22,7791838
1193;-45,16590115;-22,7791838
1194;-45,16794296;-22,78488671
1195;-45,16012227;-22,78203304
1196;-45,16384381;-22,77852911
1197;-45,16480097;-22,78000801
1198;-45,17047674;-22,77905565
1199;-45,16944308;-22,78009605
12;-45,25154116;-22,78043637
120;-45,22320433;-22,79325359
1200;-45,16647886;-22,78200148
1201;-45,16451534;-22,78210091
1202;-45,16174728;-22,7832509
1203;-45,16162577;-22,78391367
1204;-45,16069341;-22,78424628
1205;-45,15612905;-22,78317621
1207;-45,15612905;-22,78317621
1208;-45,17107737;-22,78398869
1209;-45,16543932;-22,7818665
1691;-45,23177326;-22,79627908
1692;-45,23038773;-22,79568694
1694;-45,23084244;-22,7950186
1210;-45,16728547;-22,78326154
1211;-45,16570702;-22,78159328
1212;-45,17044753;-22,78299123
1213;-45,16794296;-22,78488671
1214;-45,16794296;-22,78488671
1215;-45,16174728;-22,7832509
1216;-45,16174728;-22,7832509
122;-45,23086573;-22,79781073
1217;-45,16596402;-22,7831591
1218;-45,16265003;-22,78649441
1219;-45,16265003;-22,78649441
1220;-45,16265003;-22,78649441
1221;-45,15785108;-22,78802669
1222;-45,15785108;-22,78802669
1223;-45,15785108;-22,78802669
1224;-45,15587441;-22,78755315
1225;-45,15651769;-22,79180234
1226;-45,16843254;-22,78620007
1227;-45,16873979;-22,78587281
1228;-45,16833273;-22,78625355
1229;-45,1645657;-22,78628203
123;-45,23086573;-22,79781073
1230;-45,16991262;-22,78645327
1231;-45,17110171;-22,78736056
1232;-45,17097677;-22,78473843
1232;-45,17110171;-22,78736056
1233;-45,17105841;-22,78907598
1234;-45,17105841;-22,78907598
1235;-45,1713369;-22,78873691
1236;-45,17105841;-22,78907598
1237;-45,17081693;-22,79021642
1238;-45,16897875;-22,78838458
1239;-45,16897875;-22,78838458
124;-45,22980063;-22,79718817
1240;-45,16393277;-22,79326534
1241;-45,17156263;-22,79067699
1242;-45,17081693;-22,79021642
1243;-45,16897875;-22,78838458
1244;-45,1718107;-22,7914702
1246;-45,17208631;-22,79155752
1247;-45,17320791;-22,79383315
1749;-45,17216867;-22,79153677
1248;-45,17216867;-22,79153677
1249;-45,17187739;-22,79226211
1250;-45,17196512;-22,79409801
1251;-45,16393277;-22,79326534
1252;-45,16202818;-22,79431431
1253;-45,16025489;-22,7932393
1254;-45,16025489;-22,7932393
1255;-45,16025489;-22,7932393
1256;-45,16025489;-22,7932393
1257;-45,16025489;-22,7932393
1258;-45,16025489;-22,7932393
1259;-45,17320791;-22,79383315
126;-45,22987718;-22,79646117
1260;-45,15518837;-22,78379976
1260;-45,1736778;-22,79266113
1807;-45,17362503;-22,7942546
1262;-45,17396067;-22,79334463
1263;-45,17414334;-22,79499605
1264;-45,17304466;-22,79499026
1265;-45,17469015;-22,79510127
1266;-45,17469015;-22,79510127
1267;-45,17469015;-22,79510127
1268;-45,16202818;-22,79431431
1269;-45,16025489;-22,7932393
127;-45,23027743;-22,79692773
1270;-45,16025489;-22,7932393
1271;-45,16382267;-22,79674389
1272;-45,16346578;-22,79765781
1273;-45,16382267;-22,79674389
1274;-45,17398733;-22,79595583
1285;-45,17283776;-22,79682518
1276;-45,17835228;-22,79674567
1277;-45,17835228;-22,79674567
1278;-45,17835228;-22,79674567
1279;-45,17391706;-22,79667617
1727;-45,17348976;-22,79570151
1732;-45,17425466;-22,7930542
128;-45,22943416;-22,79733937
1280;-45,17835228;-22,79674567
1281;-45,17835228;-22,79674567
1282;-45,17790216;-22,79704633
1283;-45,17647132;-22,79717101
1284;-45,17657903;-22,79531812
1286;-45,17265372;-22,79689118
